	Macro.c08.NLRP3	Macro.c07.LYVE1	Macro.c05.INHBA	Macro.c01.C1QC	Macro.c03.GPNMB	Macro.c04.IL1B	Macro.c02.FN1	Macro.c06.ISG15	Macro.c09.SPP1
RSRP1	0.000387837	0.000448027	0.000368766	0.000325006	0.000306943	0.000409282	0.000315568	0.000352222	0.000410853
TMEM50A	0.0003333	0.000308454	0.00041433	0.000405992	0.000410364	0.000316467	0.000363426	0.000396391	0.00039985
RHCE	2.17E-07	9.71E-07	5.02E-07	6.86E-07	5.08E-07	9.80E-07	3.00E-07	1.21E-06	5.60E-07
LDLRAP1	7.83E-06	9.72E-06	1.43E-05	1.36E-05	1.25E-05	1.56E-05	1.17E-05	8.23E-06	9.13E-06
MAN1C1	4.00E-06	1.11E-05	2.98E-06	1.20E-05	4.98E-06	8.75E-06	7.76E-06	5.62E-06	8.48E-06
MTFR1L	2.41E-05	4.82E-05	2.93E-05	4.54E-05	4.41E-05	4.27E-05	3.50E-05	3.05E-05	3.97E-05
AUNIP	7.15E-08	3.72E-07	5.56E-07	2.69E-07	1.06E-06	6.64E-07	1.36E-06	3.97E-07	1.00E-08
PAQR7	2.42E-06	9.63E-06	2.83E-06	5.00E-06	3.95E-06	5.28E-06	1.37E-06	1.13E-06	7.57E-07
STMN1	2.42E-05	0.000224975	0.000214892	0.000309814	0.00028505	0.000271012	0.0001486	5.29E-05	0.000123744
PAFAH2	2.48E-06	9.95E-06	3.80E-06	1.18E-05	9.21E-06	7.14E-06	4.92E-06	4.07E-06	7.45E-06
SLC30A2	1.00E-08	2.41E-07	1.00E-08	2.11E-07	7.61E-07	1.00E-08	1.00E-08	1.00E-08	2.48E-07
TRIM63	1.00E-08	2.18E-07	1.00E-08	5.74E-08	1.00E-08	1.00E-08	1.00E-08	1.00E-08	1.46E-07
PDIK1L	2.47E-07	1.02E-05	1.64E-06	8.52E-06	6.12E-06	4.70E-06	9.41E-07	2.96E-06	2.08E-06
ZNF593	4.91E-05	6.27E-05	4.71E-05	7.46E-05	0.000101151	5.07E-05	7.60E-05	9.57E-05	6.86E-05
CEP85	4.18E-06	8.09E-06	9.30E-06	8.86E-06	6.77E-06	8.94E-06	6.22E-06	8.23E-06	7.22E-06
SH3BGRL3	0.001772064	0.000963039	0.00134571	0.001149656	0.001190193	0.000865572	0.001401679	0.001582919	0.001512382
UBXN11	0.000223302	8.91E-05	6.14E-05	5.96E-05	5.22E-05	4.88E-05	8.57E-05	9.38E-05	0.000143965
CD52	0.000734154	6.20E-05	0.000266347	0.000107287	0.000154803	5.47E-05	0.000457347	0.000632801	0.000507349
DHDDS	1.89E-05	3.04E-05	2.03E-05	3.47E-05	3.16E-05	2.08E-05	2.04E-05	2.89E-05	2.62E-05
HMGN2	0.000495934	0.000533425	0.000566968	0.000623737	0.000672567	0.00057691	0.000662674	0.000579111	0.000570824
RPS6KA1	7.09E-05	7.69E-05	7.14E-05	9.22E-05	0.000106232	8.68E-05	6.84E-05	9.15E-05	8.20E-05
ARID1A	6.22E-05	0.000128564	6.48E-05	8.26E-05	6.16E-05	8.04E-05	8.19E-05	7.02E-05	6.39E-05
PIGV	6.60E-06	1.43E-05	1.46E-05	1.91E-05	1.74E-05	1.89E-05	1.32E-05	6.59E-06	1.18E-05
ZDHHC18	1.24E-05	1.48E-05	8.04E-06	1.16E-05	1.26E-05	8.35E-06	1.28E-05	1.58E-05	1.16E-05
SFN	2.10E-07	9.89E-07	2.77E-06	2.03E-06	7.60E-07	1.60E-07	1.00E-08	1.00E-08	1.00E-08
GPN2	1.77E-05	2.84E-05	1.44E-05	2.47E-05	3.08E-05	1.94E-05	2.44E-05	2.70E-05	2.69E-05
GPATCH3	2.45E-05	4.03E-05	3.10E-05	3.33E-05	3.91E-05	3.11E-05	3.47E-05	4.02E-05	4.16E-05
NUDC	0.000131633	0.000193667	0.000176947	0.000209539	0.000260914	0.000215281	0.000219836	0.00019129	0.000175323
TRNP1	2.38E-06	1.27E-06	1.52E-06	1.09E-06	1.40E-06	1.01E-06	7.37E-07	8.95E-07	1.34E-06
SLC9A1	2.42E-05	2.91E-05	2.55E-05	2.12E-05	9.57E-06	1.60E-05	1.91E-05	1.83E-05	2.73E-05
WDTC1	2.77E-05	4.29E-05	2.57E-05	3.71E-05	4.42E-05	4.01E-05	3.99E-05	2.13E-05	2.71E-05
TMEM222	1.95E-05	4.05E-05	3.51E-05	4.78E-05	4.74E-05	4.61E-05	2.94E-05	2.76E-05	4.64E-05
SYTL1	4.37E-05	1.61E-06	1.35E-05	3.75E-06	2.76E-06	3.40E-06	1.21E-05	1.20E-05	4.83E-06
MAP3K6	1.49E-05	2.33E-05	6.94E-06	1.04E-05	6.06E-06	1.00E-05	1.33E-05	7.68E-06	7.31E-06
GPR3	1.20E-06	1.91E-06	1.25E-05	3.04E-06	1.64E-06	4.16E-06	3.31E-06	4.65E-07	1.16E-06
WASF2	0.000271985	0.000475962	0.000229483	0.000348931	0.00040444	0.000445135	0.00040229	0.000313055	0.000251303
AHDC1	3.65E-06	2.91E-05	6.69E-06	1.50E-05	1.52E-05	2.45E-05	1.30E-05	4.33E-06	6.64E-06
FGR	0.000650034	0.000179337	0.000307043	0.000148469	0.000244478	0.000217244	0.000366083	0.000466533	0.000378763
IFI6	0.000338587	0.000198884	0.000434382	0.000499604	0.000364147	0.000199483	0.00031924	0.000763204	0.000590839
FAM76A	9.46E-06	2.14E-05	1.84E-05	2.25E-05	2.40E-05	1.96E-05	1.99E-05	1.79E-05	1.61E-05
STX12	0.000110984	0.000167959	0.000155689	0.000172209	0.000146561	0.00014554	0.000106019	0.000151947	0.000148622
PPP1R8	1.03E-05	1.75E-05	1.49E-05	1.96E-05	2.37E-05	1.24E-05	1.73E-05	2.58E-05	2.12E-05
THEMIS2	0.00030577	0.000362034	0.000329742	0.000342851	0.0003822	0.000433831	0.000468341	0.000399938	0.000323055
RPA2	4.65E-05	8.25E-05	6.85E-05	7.89E-05	8.79E-05	8.61E-05	8.38E-05	5.54E-05	8.02E-05
SMPDL3B	1.07E-06	1.49E-06	1.53E-06	1.29E-06	9.92E-07	2.01E-06	2.39E-06	1.44E-06	1.30E-06
XKR8	1.52E-05	2.36E-05	2.43E-05	1.92E-05	3.09E-05	2.18E-05	2.84E-05	4.41E-05	2.35E-05
EYA3	2.32E-05	3.11E-05	2.91E-05	2.69E-05	2.71E-05	2.54E-05	1.83E-05	3.14E-05	2.15E-05
PTAFR	0.000125326	0.000124941	0.000167055	0.000187233	0.000179041	0.000117286	0.000102346	0.000218528	0.000175467
DNAJC8	0.000231854	0.000204005	0.00023566	0.000242026	0.000271812	0.000201331	0.000268193	0.000286519	0.000236062
SESN2	0.000138362	6.34E-05	0.000118609	7.09E-05	7.07E-05	6.79E-05	0.000103542	7.66E-05	0.000142924
MED18	1.26E-05	9.08E-06	1.93E-05	1.12E-05	1.32E-05	1.04E-05	1.75E-05	6.54E-06	1.43E-05
PHACTR4	4.36E-05	0.000101401	7.98E-05	8.65E-05	7.10E-05	8.72E-05	5.30E-05	6.43E-05	7.19E-05
RCC1	6.70E-05	8.10E-05	8.34E-05	6.89E-05	6.00E-05	8.82E-05	7.36E-05	7.09E-05	0.000101061
TRNAU1AP	4.01E-05	5.42E-05	4.59E-05	6.39E-05	6.48E-05	4.68E-05	5.03E-05	6.11E-05	6.88E-05
TAF12	5.50E-05	6.42E-05	8.04E-05	8.12E-05	8.69E-05	8.29E-05	8.68E-05	7.27E-05	7.91E-05
RAB42	7.76E-07	6.17E-06	6.50E-06	2.99E-05	4.39E-05	4.33E-06	2.94E-06	3.37E-06	2.97E-05
GMEB1	3.85E-05	3.69E-05	3.74E-05	3.14E-05	3.40E-05	2.93E-05	3.51E-05	3.42E-05	3.51E-05
YTHDF2	9.69E-05	0.000114204	9.88E-05	0.000111227	0.000147779	0.000119878	0.000112816	0.000123468	0.000121321
EPB41	3.98E-05	3.07E-05	4.39E-05	3.37E-05	4.18E-05	5.45E-05	6.13E-05	3.20E-05	1.90E-05
SRSF4	0.000114601	0.000150329	0.000116281	0.000137173	0.000147828	0.000126703	0.000141345	0.000147843	0.000128387
MECR	9.29E-06	1.38E-05	1.11E-05	1.96E-05	2.77E-05	1.86E-05	2.00E-05	1.72E-05	1.94E-05
PTPRU	2.99E-07	2.13E-07	5.43E-07	5.14E-07	2.36E-07	4.61E-07	1.00E-08	1.36E-06	9.06E-07
LAPTM5	0.00128611	0.001183681	0.001170481	0.001267624	0.001327451	0.001273349	0.001335614	0.001055158	0.001308118
SDC3	5.26E-06	7.03E-05	9.62E-06	0.000103878	2.83E-05	2.69E-05	7.92E-06	3.84E-05	4.74E-05
PUM1	9.18E-05	0.000119157	6.88E-05	9.39E-05	9.50E-05	9.46E-05	9.58E-05	8.52E-05	8.90E-05
SNRNP40	3.98E-05	6.09E-05	6.13E-05	7.22E-05	8.00E-05	7.24E-05	8.55E-05	7.96E-05	6.27E-05
ZCCHC17	4.08E-05	6.35E-05	4.76E-05	7.17E-05	6.83E-05	5.34E-05	5.53E-05	4.88E-05	7.38E-05
FABP3	8.31E-07	2.13E-05	4.20E-06	8.68E-05	8.21E-05	2.13E-05	6.83E-06	5.35E-06	4.04E-05
SERINC2	3.14E-05	1.64E-05	3.46E-05	3.59E-05	5.73E-06	2.69E-06	7.67E-06	2.47E-05	5.54E-05
TINAGL1	2.84E-06	1.89E-06	1.86E-06	6.99E-07	3.15E-07	8.26E-07	2.61E-06	1.38E-06	7.52E-06
HCRTR1	1.00E-08	1.00E-08	1.83E-07	8.19E-08	3.95E-07	1.00E-08	1.00E-08	1.00E-08	9.15E-08
PEF1	8.68E-05	7.01E-05	9.50E-05	8.17E-05	9.19E-05	7.57E-05	7.91E-05	0.000109259	0.000107249
COL16A1	7.41E-07	1.03E-06	3.01E-07	1.00E-08	2.78E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08
SPOCD1	9.56E-08	1.25E-07	2.68E-07	7.62E-07	1.00E-08	1.00E-08	1.00E-08	1.00E-08	7.23E-06
PTP4A2	0.000367344	0.00022526	0.000244101	0.000224542	0.000328819	0.000280105	0.000331383	0.000370123	0.000246375
KHDRBS1	0.000333427	0.000298495	0.000315317	0.000284496	0.000354249	0.000385497	0.000350788	0.000332369	0.000266205
TMEM39B	2.42E-05	4.91E-05	6.08E-05	5.03E-05	6.30E-05	6.98E-05	4.75E-05	2.93E-05	2.49E-05
KPNA6	4.79E-05	6.43E-05	5.17E-05	5.50E-05	4.48E-05	4.69E-05	3.91E-05	4.35E-05	4.93E-05
TXLNA	3.84E-05	3.92E-05	2.90E-05	4.03E-05	3.94E-05	2.56E-05	3.09E-05	4.72E-05	3.90E-05
CCDC28B	8.20E-06	3.08E-06	6.17E-06	1.08E-05	7.95E-06	3.81E-06	6.78E-06	1.96E-05	6.41E-06
TMEM234	1.65E-05	1.82E-05	1.51E-05	2.31E-05	2.27E-05	1.49E-05	1.55E-05	2.26E-05	2.41E-05
EIF3I	0.000310018	0.000210835	0.000250398	0.000245532	0.000286245	0.000230414	0.000309923	0.00030978	0.000297488
LCK	1.66E-06	6.59E-07	2.03E-06	2.15E-06	9.47E-07	1.45E-06	1.64E-06	1.78E-06	6.29E-07
HDAC1	7.53E-05	5.70E-05	7.64E-05	5.86E-05	7.36E-05	6.80E-05	7.54E-05	7.92E-05	7.32E-05
MARCKSL1	0.000489194	0.000124752	0.000425444	0.000138787	0.000153147	0.000230076	0.000289903	0.00038909	0.00027167
FAM229A	2.50E-06	3.49E-06	2.33E-07	2.45E-06	8.67E-07	7.81E-07	9.20E-07	7.10E-07	3.39E-06
BSDC1	3.31E-05	5.86E-05	3.91E-05	5.70E-05	5.35E-05	5.09E-05	4.64E-05	4.47E-05	5.27E-05
ZBTB8A	6.15E-07	3.70E-06	1.65E-06	4.09E-06	3.89E-06	3.01E-06	2.21E-06	4.05E-07	7.44E-07
ZBTB8OS	0.000102052	7.36E-05	8.85E-05	0.000102301	8.62E-05	6.97E-05	9.12E-05	0.000105549	0.000115399
RBBP4	0.000133771	0.000149111	0.000140943	0.000162872	0.000187278	0.000163268	0.000171547	0.000169279	0.000127948
SYNC	8.96E-07	2.00E-06	1.80E-06	7.10E-07	2.11E-06	1.78E-06	8.60E-07	1.01E-06	3.90E-07
KIAA1522	1.95E-06	4.45E-06	2.17E-06	2.64E-06	1.40E-06	1.45E-06	2.23E-06	1.27E-06	2.44E-06
S100PBP	9.82E-06	4.09E-05	1.89E-05	3.41E-05	2.94E-05	3.72E-05	1.67E-05	9.53E-06	1.43E-05
TMEM54	2.40E-05	5.20E-06	2.03E-05	8.44E-06	1.03E-06	5.83E-06	4.37E-06	1.63E-05	7.95E-06
RNF19B	0.000231453	5.66E-05	0.000159752	7.85E-05	3.18E-05	5.46E-05	7.46E-05	0.000169893	0.000108673
AK2	0.000135549	0.000113351	0.000188349	0.000162787	0.000198286	0.000149458	0.000178067	0.00020456	0.000166937
AZIN2	4.15E-07	3.68E-06	9.77E-06	1.00E-05	1.29E-05	2.05E-05	9.27E-06	4.31E-06	1.97E-06
TRIM62	2.81E-06	2.99E-06	1.63E-06	2.65E-06	2.49E-06	3.13E-06	2.78E-06	1.83E-06	4.26E-06
ZNF362	1.14E-05	3.87E-05	1.36E-05	3.06E-05	2.01E-05	3.08E-05	1.79E-05	1.09E-05	1.62E-05
PHC2	0.000145823	0.000109042	6.48E-05	8.66E-05	6.80E-05	6.11E-05	9.27E-05	9.39E-05	0.000144973
ZSCAN20	6.73E-07	2.08E-06	1.48E-06	2.61E-06	1.82E-06	5.72E-07	1.00E-08	1.08E-06	1.41E-06
SMIM12	8.35E-05	8.33E-05	8.59E-05	0.00010143	0.000120782	7.78E-05	0.000112334	0.000105856	9.82E-05
DLGAP3	2.40E-05	5.49E-05	2.71E-05	2.95E-05	2.82E-05	2.19E-05	2.68E-05	2.57E-05	2.06E-05
ZMYM6	9.94E-06	2.72E-05	1.37E-05	1.90E-05	1.45E-05	1.69E-05	1.17E-05	1.12E-05	1.44E-05
ZMYM1	3.27E-06	1.64E-05	5.27E-06	1.44E-05	1.23E-05	1.55E-05	8.75E-06	4.63E-06	6.87E-06
SFPQ	0.000655909	0.000505606	0.00051159	0.000386775	0.00046245	0.000582684	0.000576089	0.000505791	0.000412068
ZMYM4	2.50E-05	4.38E-05	3.06E-05	3.36E-05	2.28E-05	3.19E-05	2.79E-05	2.59E-05	2.46E-05
KIAA0319L	2.90E-05	4.27E-05	2.48E-05	4.21E-05	2.89E-05	3.40E-05	3.53E-05	3.54E-05	2.91E-05
NCDN	5.90E-06	6.33E-06	5.08E-06	7.73E-06	5.54E-06	6.33E-06	4.65E-06	9.03E-06	8.04E-06
TFAP2E	1.47E-07	1.40E-06	1.92E-07	2.45E-07	1.72E-07	8.64E-07	1.95E-07	1.00E-08	1.00E-08
PSMB2	0.000215492	0.000165468	0.000227868	0.000259888	0.000260755	0.000174651	0.00026183	0.000338614	0.000257114
C1orf216	7.44E-06	1.34E-05	4.34E-06	1.27E-05	1.09E-05	6.79E-06	8.60E-06	8.22E-06	1.03E-05
CLSPN	2.41E-06	3.16E-06	4.04E-06	7.30E-06	8.27E-06	2.80E-06	8.32E-07	4.93E-06	2.73E-06
AGO4	3.78E-05	4.26E-05	2.08E-05	2.96E-05	1.83E-05	2.00E-05	2.18E-05	2.73E-05	3.05E-05
AGO1	3.76E-05	2.64E-05	2.34E-05	2.40E-05	1.93E-05	1.95E-05	3.50E-05	2.72E-05	3.70E-05
AGO3	7.58E-05	6.79E-05	6.86E-05	5.83E-05	5.68E-05	5.89E-05	5.46E-05	5.18E-05	6.59E-05
ADPRHL2	2.24E-05	3.88E-05	3.12E-05	6.29E-05	7.57E-05	3.74E-05	5.17E-05	7.36E-05	5.07E-05
COL8A2	6.86E-06	8.10E-06	1.64E-05	1.24E-05	1.43E-05	1.18E-05	3.03E-05	1.45E-05	1.16E-05
TRAPPC3	9.82E-05	0.000124991	0.000128733	0.000159653	0.000177655	0.000151333	0.000151363	0.000155784	0.000128473
MAP7D1	0.000126907	0.000144192	0.000137967	0.000144447	0.000160815	0.000169483	0.000126281	0.000176318	0.000127377
THRAP3	0.000167794	0.000205228	0.000177587	0.000197014	0.000237382	0.000192232	0.00020856	0.000190202	0.000184526
SH3D21	1.31E-05	1.72E-05	2.55E-05	2.47E-05	2.96E-05	3.51E-05	2.13E-05	1.21E-05	3.91E-05
EVA1B	2.33E-05	2.24E-05	1.43E-05	3.32E-05	2.81E-05	2.56E-05	2.28E-05	2.71E-05	1.81E-05
STK40	0.000204887	7.63E-05	0.000108658	8.85E-05	0.000103484	0.000127354	0.000128743	0.000155647	9.79E-05
LSM10	0.000102671	9.54E-05	0.000117593	0.000151956	0.00015696	0.000109484	0.000143833	0.00016419	0.000121446
OSCP1	2.62E-07	2.55E-06	9.52E-07	2.91E-06	2.82E-06	2.75E-06	1.38E-06	1.00E-08	1.51E-06
CSF3R	0.000519632	0.000159756	0.00025273	0.00018282	0.000210048	0.000253121	0.000357466	0.000243231	0.000294315
ZC3H12A	0.000624951	0.000251868	0.000605136	0.000236217	0.000250429	0.000461795	0.000442345	0.000397836	0.000452373
MEAF6	7.45E-05	0.000126963	0.000106746	0.000147682	0.000153814	0.000138734	0.000131432	9.18E-05	0.000114351
SNIP1	4.97E-05	2.82E-05	2.28E-05	2.32E-05	2.61E-05	2.18E-05	3.93E-05	2.98E-05	3.65E-05
GNL2	6.08E-05	7.91E-05	8.48E-05	7.15E-05	0.000103016	8.42E-05	9.59E-05	9.05E-05	6.24E-05
C1orf109	3.51E-06	1.34E-05	5.57E-06	1.20E-05	1.08E-05	1.05E-05	6.18E-06	5.06E-06	5.16E-06
CDCA8	6.71E-07	1.68E-06	8.16E-07	2.98E-06	2.19E-06	1.39E-06	1.41E-06	1.00E-08	1.69E-06
MANEAL	4.03E-07	1.05E-06	1.92E-07	8.77E-07	5.90E-07	2.98E-07	8.64E-07	1.00E-08	3.69E-07
YRDC	5.58E-05	2.17E-05	2.36E-05	2.32E-05	4.34E-05	2.76E-05	4.11E-05	5.56E-05	3.69E-05
C1orf122	0.000146562	6.98E-05	0.000112486	0.000108693	0.000141231	9.51E-05	0.000119375	0.000187664	0.000181464
MTF1	0.000179379	3.75E-05	7.01E-05	3.50E-05	3.67E-05	2.69E-05	5.34E-05	0.00010591	0.000116519
INPP5B	7.97E-06	1.79E-05	1.81E-05	1.96E-05	2.14E-05	2.04E-05	1.49E-05	9.81E-06	1.10E-05
SF3A3	5.06E-05	8.16E-05	6.75E-05	9.10E-05	9.13E-05	7.38E-05	6.89E-05	7.71E-05	7.01E-05
FHL3	4.82E-05	6.09E-05	8.42E-05	6.89E-05	0.000103047	9.93E-05	0.000111089	7.83E-05	6.34E-05
POU3F1	6.63E-07	5.73E-06	1.70E-06	2.50E-06	1.59E-06	2.82E-06	2.41E-07	1.00E-08	6.36E-07
RRAGC	8.53E-05	0.000110368	9.60E-05	9.91E-05	0.000140738	0.000121481	0.000111231	0.000143249	9.32E-05
MYCBP	6.34E-05	2.80E-05	6.19E-05	5.40E-05	6.06E-05	4.42E-05	6.44E-05	8.43E-05	5.46E-05
AKIRIN1	0.000151907	0.00012794	0.000139927	0.000106161	0.000135358	0.000136866	0.00014999	0.000127015	0.000158379
NDUFS5	0.000474608	0.000350241	0.000400312	0.000481502	0.000517894	0.000375971	0.000588579	0.000469347	0.000534091
MACF1	0.000130957	0.000179548	0.000157556	0.000170961	0.000137588	0.000149245	0.000147913	0.000141294	0.000133598
PABPC4	0.000295174	0.000438938	0.000344907	0.000365674	0.00048777	0.000616594	0.000546808	0.000254403	0.000394001
PPIE	3.46E-05	5.81E-05	4.92E-05	7.06E-05	8.32E-05	6.96E-05	7.08E-05	4.70E-05	5.72E-05
BMP8B	1.68E-06	1.46E-06	1.97E-06	2.19E-06	4.64E-06	2.48E-06	4.45E-06	2.34E-06	1.32E-06
OXCT2	5.15E-06	7.58E-06	6.49E-06	1.50E-05	1.83E-05	1.28E-05	2.17E-05	6.95E-06	4.81E-06
TRIT1	6.35E-06	2.51E-05	1.25E-05	2.15E-05	2.39E-05	2.87E-05	1.47E-05	1.00E-05	8.47E-06
MYCL	5.06E-06	2.26E-05	2.32E-05	3.04E-05	4.87E-05	6.48E-05	1.48E-05	1.30E-05	4.83E-06
MFSD2A	0.000188815	6.64E-05	0.000164959	6.53E-05	9.79E-05	0.000140018	0.000163987	9.47E-05	0.000140846
CAP1	0.000577509	0.0005088	0.000635347	0.000565521	0.000588279	0.000527354	0.000509775	0.000602985	0.000434996
PPT1	0.000367235	0.0003869	0.00051325	0.00060116	0.000677515	0.000544741	0.000640777	0.000402952	0.000372741
RLF	8.42E-05	9.94E-05	9.61E-05	6.86E-05	7.08E-05	9.63E-05	8.11E-05	8.29E-05	7.65E-05
ZMPSTE24	2.97E-05	6.05E-05	4.92E-05	6.12E-05	6.65E-05	5.13E-05	4.70E-05	4.33E-05	3.59E-05
COL9A2	9.64E-06	2.97E-05	6.41E-05	2.15E-05	3.24E-05	5.66E-05	2.03E-05	9.91E-06	5.47E-06
SMAP2	0.000453392	0.000536101	0.00029908	0.000347554	0.00053623	0.000700066	0.000669924	0.000348161	0.000270693
ZFP69B	6.07E-07	2.01E-06	2.46E-06	2.21E-06	1.47E-06	1.45E-06	1.25E-06	4.15E-07	1.37E-06
ZFP69	5.84E-07	6.21E-06	2.17E-06	4.88E-06	6.30E-06	5.42E-06	4.62E-06	1.24E-06	2.40E-06
EXO5	1.51E-06	9.64E-06	3.88E-06	7.97E-06	8.60E-06	6.27E-06	5.89E-06	2.05E-06	7.71E-06
ZNF684	5.22E-06	8.45E-06	4.93E-06	7.92E-06	7.55E-06	5.02E-06	8.08E-06	6.37E-06	7.77E-06
RIMS3	4.25E-07	1.87E-06	8.93E-07	2.50E-06	2.03E-06	1.34E-06	1.70E-06	1.24E-06	1.10E-06
NFYC	8.53E-05	0.000112435	0.000107411	0.000112061	0.000118093	0.000115021	0.000108456	0.00011424	0.000112989
CITED4	2.74E-05	1.77E-05	2.39E-05	1.29E-05	1.57E-05	2.88E-05	2.74E-05	1.84E-05	1.77E-05
CTPS1	1.27E-05	1.62E-05	1.61E-05	1.42E-05	1.90E-05	1.51E-05	1.63E-05	1.93E-05	1.30E-05
SCMH1	7.35E-06	1.04E-05	8.08E-06	8.39E-06	8.29E-06	1.01E-05	1.03E-05	3.24E-06	7.54E-06
HIVEP3	2.94E-05	2.72E-05	4.05E-05	3.19E-05	2.14E-05	2.37E-05	2.60E-05	6.35E-05	1.98E-05
FOXJ3	3.18E-05	5.25E-05	3.05E-05	4.16E-05	4.24E-05	4.03E-05	3.74E-05	3.90E-05	4.13E-05
RIMKLA	1.00E-08	3.73E-07	2.98E-07	3.27E-07	2.25E-06	1.44E-07	4.50E-07	1.00E-08	4.69E-07
ZMYND12	1.00E-06	2.83E-06	1.17E-06	4.44E-06	4.21E-06	2.27E-06	2.68E-06	3.27E-07	5.70E-06
PPCS	8.81E-05	0.000131495	0.0001153	0.00017154	0.000180562	0.000130695	0.000139839	0.000144608	0.000153558
CCDC30	1.26E-06	3.53E-06	8.08E-07	2.56E-06	2.98E-06	2.28E-06	7.58E-07	6.80E-07	1.61E-06
PPIH	4.71E-05	7.07E-05	7.85E-05	8.98E-05	9.91E-05	7.86E-05	9.71E-05	8.72E-05	8.04E-05
YBX1	0.001151238	0.001120311	0.001054735	0.001112673	0.001183124	0.001117047	0.001222167	0.001164882	0.001182617
P3H1	1.87E-05	2.71E-05	2.16E-05	3.05E-05	2.83E-05	2.17E-05	2.84E-05	1.99E-05	2.90E-05
C1orf50	1.56E-05	3.10E-05	2.01E-05	3.73E-05	4.13E-05	2.52E-05	3.35E-05	2.88E-05	2.94E-05
ERMAP	1.06E-05	2.55E-05	1.65E-05	2.32E-05	3.30E-05	2.85E-05	2.98E-05	1.01E-05	1.41E-05
ZNF691	1.69E-06	1.52E-05	8.50E-06	1.71E-05	1.81E-05	1.08E-05	4.49E-06	6.05E-06	6.04E-06
SLC2A1	6.16E-06	2.62E-06	3.38E-05	1.08E-05	2.71E-05	1.17E-05	7.67E-06	9.82E-06	4.87E-05
EBNA1BP2	4.90E-05	5.53E-05	5.56E-05	5.82E-05	6.94E-05	5.39E-05	6.12E-05	7.25E-05	7.19E-05
TIE1	2.13E-07	9.68E-07	1.52E-06	3.25E-07	1.51E-06	1.59E-06	5.89E-07	4.67E-07	1.00E-08
CDC20	7.66E-07	1.33E-06	3.14E-06	4.43E-06	7.11E-06	2.06E-06	4.04E-07	8.40E-07	1.23E-06
ELOVL1	0.000107323	0.000133713	0.000112294	0.000159639	0.000196882	0.000167102	0.000149133	0.000150695	0.000148617
MED8	5.92E-05	6.63E-05	6.15E-05	8.90E-05	9.55E-05	5.25E-05	7.80E-05	9.15E-05	8.59E-05
SZT2	2.17E-05	2.51E-05	1.73E-05	2.01E-05	1.62E-05	1.69E-05	2.41E-05	1.84E-05	2.21E-05
HYI	1.18E-05	8.16E-05	6.50E-05	7.77E-05	8.16E-05	9.36E-05	5.20E-05	2.31E-05	4.12E-05
PTPRF	8.17E-08	9.29E-07	6.46E-07	1.40E-06	9.43E-07	2.95E-07	1.00E-08	1.00E-08	4.55E-07
KDM4A	1.09E-05	3.37E-05	2.08E-05	2.96E-05	3.25E-05	3.07E-05	2.05E-05	1.45E-05	1.88E-05
ST3GAL3	6.69E-06	1.28E-05	1.05E-05	1.26E-05	8.99E-06	1.26E-05	9.88E-06	9.90E-06	9.24E-06
IPO13	9.77E-06	1.79E-05	1.25E-05	2.36E-05	2.02E-05	1.65E-05	2.13E-05	1.31E-05	1.38E-05
DPH2	7.90E-06	1.46E-05	1.44E-05	1.46E-05	1.66E-05	1.29E-05	1.86E-05	1.72E-05	1.38E-05
ATP6V0B	0.000796338	0.000668001	0.000739859	0.000774572	0.000792638	0.000666568	0.000791996	0.000769022	0.00081271
B4GALT2	1.19E-06	1.64E-06	1.28E-07	2.81E-06	1.29E-06	2.21E-07	1.53E-06	1.56E-06	4.31E-06
CCDC24	4.47E-06	1.06E-05	6.58E-06	1.17E-05	1.07E-05	8.19E-06	4.36E-06	1.66E-06	5.57E-06
DMAP1	2.56E-05	5.02E-05	3.04E-05	5.34E-05	4.65E-05	5.35E-05	4.32E-05	3.88E-05	4.30E-05
ERI3	4.03E-05	5.94E-05	5.90E-05	7.28E-05	7.29E-05	6.26E-05	6.26E-05	6.00E-05	6.42E-05
RNF220	3.25E-05	5.16E-05	1.79E-05	5.34E-05	7.68E-05	6.33E-05	6.04E-05	5.89E-05	4.41E-05
TMEM53	8.99E-06	1.96E-05	6.05E-06	2.40E-05	1.77E-05	8.49E-06	5.83E-06	1.55E-05	2.22E-05
PLK3	0.000478426	0.000297372	0.00050849	0.000263766	0.000282707	0.000434627	0.000379361	0.00031807	0.000398331
TCTEX1D4	1.60E-06	7.34E-07	2.92E-07	4.82E-07	4.32E-07	1.10E-06	1.00E-08	6.23E-07	2.10E-06
BTBD19	6.43E-05	3.27E-05	4.42E-05	3.28E-05	1.29E-05	1.96E-05	3.32E-05	3.75E-05	5.55E-05
PTCH2	8.63E-06	5.91E-05	1.83E-05	2.12E-05	1.20E-05	3.89E-05	1.15E-05	7.78E-06	1.01E-05
EIF2B3	2.35E-05	3.35E-05	3.21E-05	4.47E-05	4.49E-05	4.23E-05	4.06E-05	4.02E-05	3.00E-05
HECTD3	7.95E-06	2.28E-05	1.25E-05	2.62E-05	2.38E-05	1.41E-05	1.31E-05	1.58E-05	1.33E-05
UROD	7.44E-05	8.38E-05	9.13E-05	0.000133801	0.000123942	9.39E-05	0.000114415	9.44E-05	0.000112601
